accx, accy, accz, magx, magy, magz, roll, pitch, yaw
-0.628788, 0.027450, 0.810507, -0.311780, 0.375620, -0.556220, 0.033855, 0.659530, -0.758242
-0.644099, 0.038491, 0.773358, -0.302820, 0.378700, -0.553420, 0.049730, 0.693851, -0.739965
-0.634888, 0.043554, 0.787937, -0.300580, 0.373100, -0.548940, 0.055220, 0.677498, -0.743613
-0.648735, 0.034709, 0.770613, -0.299460, 0.373940, -0.554820, 0.045010, 0.699240, -0.740693
-0.648796, 0.040565, 0.774151, -0.299460, 0.373940, -0.554820, 0.052351, 0.696855, -0.740693
-0.648064, 0.044835, 0.777506, -0.298340, 0.379120, -0.538580, 0.057601, 0.694030, -0.732169
-0.648918, 0.044713, 0.788913, -0.306040, 0.381640, -0.545020, 0.056616, 0.687552, -0.741353
-0.639463, 0.049166, 0.796843, -0.299180, 0.384020, -0.542780, 0.061623, 0.675334, -0.727300
-0.653188, 0.040809, 0.776103, -0.303240, 0.380940, -0.540120, 0.052534, 0.698932, -0.737766
-0.656360, 0.037088, 0.778848, -0.304640, 0.380380, -0.543760, 0.047583, 0.699701, -0.740729
-0.665083, 0.039528, 0.765428, -0.304640, 0.380380, -0.543760, 0.051596, 0.714707, -0.740729
-0.669536, 0.037881, 0.758901, -0.297920, 0.385000, -0.538300, 0.049874, 0.722301, -0.724021
-0.672952, 0.038369, 0.754875, -0.304920, 0.385280, -0.538720, 0.050785, 0.727444, -0.734940
-0.673501, 0.034160, 0.753716, -0.303660, 0.383320, -0.539140, 0.045291, 0.728744, -0.735407
-0.672769, 0.053558, 0.755607, -0.302400, 0.387800, -0.537040, 0.070762, 0.726224, -0.727741
-0.671244, 0.054656, 0.758840, -0.302400, 0.387800, -0.537040, 0.071902, 0.722939, -0.727741
-0.680699, 0.044103, 0.753716, -0.301700, 0.387940, -0.533960, 0.058447, 0.733688, -0.726443
-0.678259, 0.050935, 0.751337, -0.301000, 0.388920, -0.536760, 0.067689, 0.733185, -0.724096
-0.684725, 0.039589, 0.748714, -0.300860, 0.388780, -0.538440, 0.052827, 0.740092, -0.724045
